obs_id;Level;Object;constraint_string;op_type;dictionary;data_object;template;left_op;right_op;support;nat_lang_template;label_based_generality;object_based_generality;name_based_generality;individual_relevance_scores;semantic_based_relevance;fitted_obs_id;relevance_score;log_label_left;log_label_right;violation;num_violations
ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added professional service contact_Object_customer contact role added partner enablement contact;Activity;;Alternate Succession[customer contact role added professional service contact, customer contact role added partner enablement contact] | | |;Binary;set();set();Alternate Response;customer contact role added professional service contact;customer contact role added partner enablement contact;4;{1} and {2} occur if and only if the latter follows the former, and they alternate in a process instance;0.8902499750256538;1.0113174766302109;0.0;{'customer contact role added professional service contact': 0.5494768023490906, 'customer contact role added partner enablement contact': 0.5384067296981812};0.5439417660236359;ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added professional service contact_Object_customer contact role added partner enablement contact;0.5295475894212723;['Customer contact role added: Professional Service contact'];['Customer contact role added: Partner Enablement Contact'];ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added professional service contact_Object_customer contact role added partner enablement contact;29
ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added it security_Object_customer contact role added procurement;Activity;;Alternate Succession[customer contact role added it security, customer contact role added procurement] | | |;Binary;set();set();Alternate Response;customer contact role added it security;customer contact role added procurement;4;{1} and {2} occur if and only if the latter follows the former, and they alternate in a process instance;0.8902499750256538;1.0113174766302109;0.0;{'customer contact role added it security': 0.5038391947746277, 'customer contact role added procurement': 0.5689608454704285};0.5364000201225281;ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added it security_Object_customer contact role added procurement;0.5227600181102753;['Customer contact role added: IT Security'];['Customer contact role added: Procurement'];ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added it security_Object_customer contact role added procurement;254
ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added it security_Object_customer contact role added partner;Activity;;Alternate Succession[customer contact role added it security, customer contact role added partner] | | |;Binary;set();set();Alternate Response;customer contact role added it security;customer contact role added partner;4;{1} and {2} occur if and only if the latter follows the former, and they alternate in a process instance;0.8902499750256538;1.0113174766302109;0.0;{'customer contact role added it security': 0.5038391947746277, 'customer contact role added partner': 0.583226203918457};0.5435326993465424;ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added it security_Object_customer contact role added partner;0.5291794294118881;['Customer contact role added: IT Security'];['Customer contact role added: Partner'];ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added it security_Object_customer contact role added partner;127
ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added it security_Object_customer contact role added economic buyer;Activity;;Alternate Succession[customer contact role added it security, customer contact role added economic buyer] | | |;Binary;set();set();Alternate Response;customer contact role added it security;customer contact role added economic buyer;4;{1} and {2} occur if and only if the latter follows the former, and they alternate in a process instance;0.8902499750256538;1.0113174766302109;0.0;{'customer contact role added it security': 0.5038391947746277, 'customer contact role added economic buyer': 0.5236126184463501};0.5137259066104889;ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added it security_Object_customer contact role added economic buyer;0.50235331594944;['Customer contact role added: IT Security'];['Customer contact role added: Economic Buyer'];ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added it security_Object_customer contact role added economic buyer;229
ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added it security_Object_customer contact role added technical buyer;Activity;;Alternate Succession[customer contact role added it security, customer contact role added technical buyer] | | |;Binary;set();set();Alternate Response;customer contact role added it security;customer contact role added technical buyer;4;{1} and {2} occur if and only if the latter follows the former, and they alternate in a process instance;0.8902499750256538;1.0113174766302109;0.0;{'customer contact role added it security': 0.5038391947746277, 'customer contact role added technical buyer': 0.5193029642105103};0.511571079492569;ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added it security_Object_customer contact role added technical buyer;0.5004139715433121;['Customer contact role added: IT Security'];['Customer contact role added: Technical Buyer'];ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added it security_Object_customer contact role added technical buyer;151
ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added it security_Object_customer contact role added partner enablement contact;Activity;;Alternate Succession[customer contact role added it security, customer contact role added partner enablement contact] | | |;Binary;set();set();Alternate Response;customer contact role added it security;customer contact role added partner enablement contact;4;{1} and {2} occur if and only if the latter follows the former, and they alternate in a process instance;0.8902499750256538;1.0113174766302109;0.0;{'customer contact role added it security': 0.5038391947746277, 'customer contact role added partner enablement contact': 0.5384067296981812};0.5211229622364044;ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added it security_Object_customer contact role added partner enablement contact;0.509010666012764;['Customer contact role added: IT Security'];['Customer contact role added: Partner Enablement Contact'];ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added it security_Object_customer contact role added partner enablement contact;44
ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added economic buyer_Object_customer contact role added partner;Activity;;Alternate Succession[customer contact role added economic buyer, customer contact role added partner] | | |;Binary;set();set();Alternate Response;customer contact role added economic buyer;customer contact role added partner;4;{1} and {2} occur if and only if the latter follows the former, and they alternate in a process instance;0.8902499750256538;1.0113174766302109;0.0;{'customer contact role added economic buyer': 0.5975871682167053, 'customer contact role added partner': 0.583226203918457};0.5904066860675812;ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added economic buyer_Object_customer contact role added partner;0.5713660174608232;['Customer contact role added: Economic Buyer'];['Customer contact role added: Partner'];ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added economic buyer_Object_customer contact role added partner;303
ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added economic buyer_Object_customer contact role added technical buyer;Activity;;Alternate Succession[customer contact role added economic buyer, customer contact role added technical buyer] | | |;Binary;set();set();Alternate Response;customer contact role added economic buyer;customer contact role added technical buyer;4;{1} and {2} occur if and only if the latter follows the former, and they alternate in a process instance;0.8902499750256538;1.0113174766302109;0.0;{'customer contact role added economic buyer': 0.5975871682167053, 'customer contact role added technical buyer': 0.5193029642105103};0.5584450662136078;ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added economic buyer_Object_customer contact role added technical buyer;0.5426005595922471;['Customer contact role added: Economic Buyer'];['Customer contact role added: Technical Buyer'];ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added economic buyer_Object_customer contact role added technical buyer;306
ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added economic buyer_Object_customer contact role added partner enablement contact;Activity;;Alternate Succession[customer contact role added economic buyer, customer contact role added partner enablement contact] | | |;Binary;set();set();Alternate Response;customer contact role added economic buyer;customer contact role added partner enablement contact;4;{1} and {2} occur if and only if the latter follows the former, and they alternate in a process instance;0.8902499750256538;1.0113174766302109;0.0;{'customer contact role added economic buyer': 0.5975871682167053, 'customer contact role added partner enablement contact': 0.5384067296981812};0.5679969489574432;ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added economic buyer_Object_customer contact role added partner enablement contact;0.551197254061699;['Customer contact role added: Economic Buyer'];['Customer contact role added: Partner Enablement Contact'];ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added economic buyer_Object_customer contact role added partner enablement contact;221
ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added technical buyer_Object_customer contact role added partner;Activity;;Alternate Succession[customer contact role added technical buyer, customer contact role added partner] | | |;Binary;set();set();Alternate Response;customer contact role added technical buyer;customer contact role added partner;4;{1} and {2} occur if and only if the latter follows the former, and they alternate in a process instance;0.8902499750256538;1.0113174766302109;0.0;{'customer contact role added technical buyer': 0.6013031601905823, 'customer contact role added partner': 0.583226203918457};0.5922646820545197;ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added technical buyer_Object_customer contact role added partner;0.5730382138490677;['Customer contact role added: Technical Buyer'];['Customer contact role added: Partner'];ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added technical buyer_Object_customer contact role added partner;223
ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added technical buyer_Object_customer contact role added partner enablement contact;Activity;;Alternate Succession[customer contact role added technical buyer, customer contact role added partner enablement contact] | | |;Binary;set();set();Alternate Response;customer contact role added technical buyer;customer contact role added partner enablement contact;4;{1} and {2} occur if and only if the latter follows the former, and they alternate in a process instance;0.8902499750256538;1.0113174766302109;0.0;{'customer contact role added technical buyer': 0.6013031601905823, 'customer contact role added partner enablement contact': 0.5384067296981812};0.5698549449443817;ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added technical buyer_Object_customer contact role added partner enablement contact;0.5528694504499436;['Customer contact role added: Technical Buyer'];['Customer contact role added: Partner Enablement Contact'];ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added technical buyer_Object_customer contact role added partner enablement contact;139
ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added economic decision maker_Object_customer contact role added procurement;Activity;;Alternate Succession[customer contact role added economic decision maker, customer contact role added procurement] | | |;Binary;set();set();Alternate Response;customer contact role added economic decision maker;customer contact role added procurement;4;{1} and {2} occur if and only if the latter follows the former, and they alternate in a process instance;0.8902499750256538;1.0113174766302109;0.0;{'customer contact role added economic decision maker': 0.5666202306747437, 'customer contact role added procurement': 0.5689608454704285};0.5677905380725861;ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added economic decision maker_Object_customer contact role added procurement;0.5510114842653275;['Customer contact role added: Economic Decision Maker'];['Customer contact role added: Procurement'];ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added economic decision maker_Object_customer contact role added procurement;301
ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added economic decision maker_Object_customer contact role added partner;Activity;;Alternate Succession[customer contact role added economic decision maker, customer contact role added partner] | | |;Binary;set();set();Alternate Response;customer contact role added economic decision maker;customer contact role added partner;4;{1} and {2} occur if and only if the latter follows the former, and they alternate in a process instance;0.8902499750256538;1.0113174766302109;0.0;{'customer contact role added economic decision maker': 0.5666202306747437, 'customer contact role added partner': 0.583226203918457};0.5749232172966003;ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added economic decision maker_Object_customer contact role added partner;0.5574308955669404;['Customer contact role added: Economic Decision Maker'];['Customer contact role added: Partner'];ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added economic decision maker_Object_customer contact role added partner;189
ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added economic decision maker_Object_customer contact role added economic buyer;Activity;;Alternate Succession[customer contact role added economic decision maker, customer contact role added economic buyer] | | |;Binary;set();set();Alternate Response;customer contact role added economic decision maker;customer contact role added economic buyer;4;{1} and {2} occur if and only if the latter follows the former, and they alternate in a process instance;0.8902499750256538;1.0113174766302109;0.0;{'customer contact role added economic decision maker': 0.5666202306747437, 'customer contact role added economic buyer': 0.5236126184463501};0.5451164245605469;ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added economic decision maker_Object_customer contact role added economic buyer;0.5306047821044922;['Customer contact role added: Economic Decision Maker'];['Customer contact role added: Economic Buyer'];ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added economic decision maker_Object_customer contact role added economic buyer;286
ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added economic decision maker_Object_customer contact role added technical buyer;Activity;;Alternate Succession[customer contact role added economic decision maker, customer contact role added technical buyer] | | |;Binary;set();set();Alternate Response;customer contact role added economic decision maker;customer contact role added technical buyer;4;{1} and {2} occur if and only if the latter follows the former, and they alternate in a process instance;0.8902499750256538;1.0113174766302109;0.0;{'customer contact role added economic decision maker': 0.5666202306747437, 'customer contact role added technical buyer': 0.5193029642105103};0.542961597442627;ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added economic decision maker_Object_customer contact role added technical buyer;0.5286654376983643;['Customer contact role added: Economic Decision Maker'];['Customer contact role added: Technical Buyer'];ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added economic decision maker_Object_customer contact role added technical buyer;200
ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added economic decision maker_Object_customer contact role added partner enablement contact;Activity;;Alternate Succession[customer contact role added economic decision maker, customer contact role added partner enablement contact] | | |;Binary;set();set();Alternate Response;customer contact role added economic decision maker;customer contact role added partner enablement contact;4;{1} and {2} occur if and only if the latter follows the former, and they alternate in a process instance;0.8902499750256538;1.0113174766302109;0.0;{'customer contact role added economic decision maker': 0.5666202306747437, 'customer contact role added partner enablement contact': 0.5384067296981812};0.5525134801864624;ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added economic decision maker_Object_customer contact role added partner enablement contact;0.5372621321678162;['Customer contact role added: Economic Decision Maker'];['Customer contact role added: Partner Enablement Contact'];ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added economic decision maker_Object_customer contact role added partner enablement contact;110
ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added partner enablement contact_Object_customer contact role added partner;Activity;;Alternate Succession[customer contact role added partner enablement contact, customer contact role added partner] | | |;Binary;set();set();Alternate Response;customer contact role added partner enablement contact;customer contact role added partner;4;{1} and {2} occur if and only if the latter follows the former, and they alternate in a process instance;0.8902499750256538;1.0113174766302109;0.0;{'customer contact role added partner enablement contact': 0.6404120326042175, 'customer contact role added partner': 0.583226203918457};0.6118191182613373;ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added partner enablement contact_Object_customer contact role added partner;0.5906372064352036;['Customer contact role added: Partner Enablement Contact'];['Customer contact role added: Partner'];ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added partner enablement contact_Object_customer contact role added partner;116
ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added legal_Object_customer contact role added procurement;Activity;;Alternate Succession[customer contact role added legal, customer contact role added procurement] | | |;Binary;set();set();Alternate Response;customer contact role added legal;customer contact role added procurement;4;{1} and {2} occur if and only if the latter follows the former, and they alternate in a process instance;0.8902499750256538;1.0113174766302109;0.0;{'customer contact role added legal': 0.5346662998199463, 'customer contact role added procurement': 0.5689608454704285};0.5518135726451874;ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added legal_Object_customer contact role added procurement;0.5366322153806686;['Customer contact role added: Legal'];['Customer contact role added: Procurement'];ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added legal_Object_customer contact role added procurement;236
ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added legal_Object_customer contact role added partner;Activity;;Alternate Succession[customer contact role added legal, customer contact role added partner] | | |;Binary;set();set();Alternate Response;customer contact role added legal;customer contact role added partner;4;{1} and {2} occur if and only if the latter follows the former, and they alternate in a process instance;0.8902499750256538;1.0113174766302109;0.0;{'customer contact role added legal': 0.5346662998199463, 'customer contact role added partner': 0.583226203918457};0.5589462518692017;ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added legal_Object_customer contact role added partner;0.5430516266822816;['Customer contact role added: Legal'];['Customer contact role added: Partner'];ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added legal_Object_customer contact role added partner;118
ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added legal_Object_customer contact role added economic buyer;Activity;;Alternate Succession[customer contact role added legal, customer contact role added economic buyer] | | |;Binary;set();set();Alternate Response;customer contact role added legal;customer contact role added economic buyer;4;{1} and {2} occur if and only if the latter follows the former, and they alternate in a process instance;0.8902499750256538;1.0113174766302109;0.0;{'customer contact role added legal': 0.5346662998199463, 'customer contact role added economic buyer': 0.5236126184463501};0.5291394591331482;ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added legal_Object_customer contact role added economic buyer;0.5162255132198333;['Customer contact role added: Legal'];['Customer contact role added: Economic Buyer'];ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added legal_Object_customer contact role added economic buyer;218
ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added legal_Object_customer contact role added technical buyer;Activity;;Alternate Succession[customer contact role added legal, customer contact role added technical buyer] | | |;Binary;set();set();Alternate Response;customer contact role added legal;customer contact role added technical buyer;4;{1} and {2} occur if and only if the latter follows the former, and they alternate in a process instance;0.8902499750256538;1.0113174766302109;0.0;{'customer contact role added legal': 0.5346662998199463, 'customer contact role added technical buyer': 0.5193029642105103};0.5269846320152283;ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added legal_Object_customer contact role added technical buyer;0.5142861688137055;['Customer contact role added: Legal'];['Customer contact role added: Technical Buyer'];ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added legal_Object_customer contact role added technical buyer;137
ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added legal_Object_customer contact role added partner enablement contact;Activity;;Alternate Succession[customer contact role added legal, customer contact role added partner enablement contact] | | |;Binary;set();set();Alternate Response;customer contact role added legal;customer contact role added partner enablement contact;4;{1} and {2} occur if and only if the latter follows the former, and they alternate in a process instance;0.8902499750256538;1.0113174766302109;0.0;{'customer contact role added legal': 0.5346662998199463, 'customer contact role added partner enablement contact': 0.5384067296981812};0.5365365147590637;ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added legal_Object_customer contact role added partner enablement contact;0.5228828632831574;['Customer contact role added: Legal'];['Customer contact role added: Partner Enablement Contact'];ad922e93-9853-4d4e-9e39-2dd44434d31a_Object_customer contact role added legal_Object_customer contact role added partner enablement contact;31
d3739dd1-251f-4e67-964a-96293de0ab7b_Object_customer contact role added billing contact_Object_customer contact role added procurement;Activity;;Succession[customer contact role added billing contact, customer contact role added procurement] | | |;Binary;set();set();Precedence;customer contact role added billing contact;customer contact role added procurement;4;{1} occurs if and only if it is followed by {2};0.8902499750256538;0.3843390941619873;0.0;{'customer contact role added billing contact': 0.5120428800582886, 'customer contact role added procurement': 0.5689608454704285};0.5405018627643585;d3739dd1-251f-4e67-964a-96293de0ab7b_Object_customer contact role added billing contact_Object_customer contact role added procurement;0.5264516764879227;['Customer contact role added: Billing Contact'];['Customer contact role added: Procurement'];d3739dd1-251f-4e67-964a-96293de0ab7b_Object_customer contact role added billing contact_Object_customer contact role added procurement;3137
d3739dd1-251f-4e67-964a-96293de0ab7b_Object_customer contact role added billing contact_Object_customer contact role added partner;Activity;;Succession[customer contact role added billing contact, customer contact role added partner] | | |;Binary;set();set();Precedence;customer contact role added billing contact;customer contact role added partner;4;{1} occurs if and only if it is followed by {2};0.8902499750256538;0.3843390941619873;0.0;{'customer contact role added billing contact': 0.5120428800582886, 'customer contact role added partner': 0.583226203918457};0.5476345419883728;d3739dd1-251f-4e67-964a-96293de0ab7b_Object_customer contact role added billing contact_Object_customer contact role added partner;0.5328710877895355;['Customer contact role added: Billing Contact'];['Customer contact role added: Partner'];d3739dd1-251f-4e67-964a-96293de0ab7b_Object_customer contact role added billing contact_Object_customer contact role added partner;3185
d3739dd1-251f-4e67-964a-96293de0ab7b_Object_customer contact role added billing contact_Object_customer contact role added economic buyer;Activity;;Succession[customer contact role added billing contact, customer contact role added economic buyer] | | |;Binary;set();set();Precedence;customer contact role added billing contact;customer contact role added economic buyer;4;{1} occurs if and only if it is followed by {2};0.8902499750256538;0.3843390941619873;0.0;{'customer contact role added billing contact': 0.5120428800582886, 'customer contact role added economic buyer': 0.5236126184463501};0.5178277492523193;d3739dd1-251f-4e67-964a-96293de0ab7b_Object_customer contact role added billing contact_Object_customer contact role added economic buyer;0.5060449743270874;['Customer contact role added: Billing Contact'];['Customer contact role added: Economic Buyer'];d3739dd1-251f-4e67-964a-96293de0ab7b_Object_customer contact role added billing contact_Object_customer contact role added economic buyer;3174
d3739dd1-251f-4e67-964a-96293de0ab7b_Object_customer contact role added billing contact_Object_customer contact role added technical buyer;Activity;;Succession[customer contact role added billing contact, customer contact role added technical buyer] | | |;Binary;set();set();Precedence;customer contact role added billing contact;customer contact role added technical buyer;4;{1} occurs if and only if it is followed by {2};0.8902499750256538;0.3843390941619873;0.0;{'customer contact role added billing contact': 0.5120428800582886, 'customer contact role added technical buyer': 0.5193029642105103};0.5156729221343994;d3739dd1-251f-4e67-964a-96293de0ab7b_Object_customer contact role added billing contact_Object_customer contact role added technical buyer;0.5041056299209595;['Customer contact role added: Billing Contact'];['Customer contact role added: Technical Buyer'];d3739dd1-251f-4e67-964a-96293de0ab7b_Object_customer contact role added billing contact_Object_customer contact role added technical buyer;3193
d3739dd1-251f-4e67-964a-96293de0ab7b_Object_customer contact role added billing contact_Object_customer contact role added partner enablement contact;Activity;;Succession[customer contact role added billing contact, customer contact role added partner enablement contact] | | |;Binary;set();set();Precedence;customer contact role added billing contact;customer contact role added partner enablement contact;4;{1} occurs if and only if it is followed by {2};0.8902499750256538;0.3843390941619873;0.0;{'customer contact role added billing contact': 0.5120428800582886, 'customer contact role added partner enablement contact': 0.5384067296981812};0.5252248048782349;d3739dd1-251f-4e67-964a-96293de0ab7b_Object_customer contact role added billing contact_Object_customer contact role added partner enablement contact;0.5127023243904114;['Customer contact role added: Billing Contact'];['Customer contact role added: Partner Enablement Contact'];d3739dd1-251f-4e67-964a-96293de0ab7b_Object_customer contact role added billing contact_Object_customer contact role added partner enablement contact;3135
d3739dd1-251f-4e67-964a-96293de0ab7b_Object_customer contact role added influencer_Object_customer contact role added procurement;Activity;;Succession[customer contact role added influencer, customer contact role added procurement] | | |;Binary;set();set();Precedence;customer contact role added influencer;customer contact role added procurement;4;{1} occurs if and only if it is followed by {2};0.8902499750256538;0.3843390941619873;0.0;{'customer contact role added influencer': 0.52794349193573, 'customer contact role added procurement': 0.5689608454704285};0.5484521687030792;d3739dd1-251f-4e67-964a-96293de0ab7b_Object_customer contact role added influencer_Object_customer contact role added procurement;0.5336069518327713;['Customer contact role added: Influencer'];['Customer contact role added: Procurement'];d3739dd1-251f-4e67-964a-96293de0ab7b_Object_customer contact role added influencer_Object_customer contact role added procurement;672
d3739dd1-251f-4e67-964a-96293de0ab7b_Object_customer contact role added influencer_Object_customer contact role added partner;Activity;;Succession[customer contact role added influencer, customer contact role added partner] | | |;Binary;set();set();Precedence;customer contact role added influencer;customer contact role added partner;4;{1} occurs if and only if it is followed by {2};0.8902499750256538;0.3843390941619873;0.0;{'customer contact role added influencer': 0.52794349193573, 'customer contact role added partner': 0.583226203918457};0.5555848479270935;d3739dd1-251f-4e67-964a-96293de0ab7b_Object_customer contact role added influencer_Object_customer contact role added partner;0.5400263631343842;['Customer contact role added: Influencer'];['Customer contact role added: Partner'];d3739dd1-251f-4e67-964a-96293de0ab7b_Object_customer contact role added influencer_Object_customer contact role added partner;603
d3739dd1-251f-4e67-964a-96293de0ab7b_Object_customer contact role added influencer_Object_customer contact role added economic buyer;Activity;;Succession[customer contact role added influencer, customer contact role added economic buyer] | | |;Binary;set();set();Precedence;customer contact role added influencer;customer contact role added economic buyer;4;{1} occurs if and only if it is followed by {2};0.8902499750256538;0.3843390941619873;0.0;{'customer contact role added influencer': 0.52794349193573, 'customer contact role added economic buyer': 0.5236126184463501};0.52577805519104;d3739dd1-251f-4e67-964a-96293de0ab7b_Object_customer contact role added influencer_Object_customer contact role added economic buyer;0.513200249671936;['Customer contact role added: Influencer'];['Customer contact role added: Economic Buyer'];d3739dd1-251f-4e67-964a-96293de0ab7b_Object_customer contact role added influencer_Object_customer contact role added economic buyer;673
d3739dd1-251f-4e67-964a-96293de0ab7b_Object_customer contact role added influencer_Object_customer contact role added technical buyer;Activity;;Succession[customer contact role added influencer, customer contact role added technical buyer] | | |;Binary;set();set();Precedence;customer contact role added influencer;customer contact role added technical buyer;4;{1} occurs if and only if it is followed by {2};0.8902499750256538;0.3843390941619873;0.0;{'customer contact role added influencer': 0.52794349193573, 'customer contact role added technical buyer': 0.5193029642105103};0.5236232280731201;d3739dd1-251f-4e67-964a-96293de0ab7b_Object_customer contact role added influencer_Object_customer contact role added technical buyer;0.5112609052658081;['Customer contact role added: Influencer'];['Customer contact role added: Technical Buyer'];d3739dd1-251f-4e67-964a-96293de0ab7b_Object_customer contact role added influencer_Object_customer contact role added technical buyer;567
d3739dd1-251f-4e67-964a-96293de0ab7b_Object_customer contact role added influencer_Object_customer contact role added partner enablement contact;Activity;;Succession[customer contact role added influencer, customer contact role added partner enablement contact] | | |;Binary;set();set();Precedence;customer contact role added influencer;customer contact role added partner enablement contact;4;{1} occurs if and only if it is followed by {2};0.8902499750256538;0.3843390941619873;0.0;{'customer contact role added influencer': 0.52794349193573, 'customer contact role added partner enablement contact': 0.5384067296981812};0.5331751108169556;d3739dd1-251f-4e67-964a-96293de0ab7b_Object_customer contact role added influencer_Object_customer contact role added partner enablement contact;0.51985759973526;['Customer contact role added: Influencer'];['Customer contact role added: Partner Enablement Contact'];d3739dd1-251f-4e67-964a-96293de0ab7b_Object_customer contact role added influencer_Object_customer contact role added partner enablement contact;533
d3739dd1-251f-4e67-964a-96293de0ab7b_Object_customer contact role added procurement_Object_customer contact role added partner;Activity;;Succession[customer contact role added procurement, customer contact role added partner] | | |;Binary;set();set();Precedence;customer contact role added procurement;customer contact role added partner;4;{1} occurs if and only if it is followed by {2};0.8902499750256538;0.3843390941619873;0.0;{'customer contact role added procurement': 0.5755096077919006, 'customer contact role added partner': 0.583226203918457};0.5793679058551788;d3739dd1-251f-4e67-964a-96293de0ab7b_Object_customer contact role added procurement_Object_customer contact role added partner;0.561431115269661;['Customer contact role added: Procurement'];['Customer contact role added: Partner'];d3739dd1-251f-4e67-964a-96293de0ab7b_Object_customer contact role added procurement_Object_customer contact role added partner;326
d3739dd1-251f-4e67-964a-96293de0ab7b_Object_customer contact role added procurement_Object_customer contact role added economic buyer;Activity;;Succession[customer contact role added procurement, customer contact role added economic buyer] | | |;Binary;set();set();Precedence;customer contact role added procurement;customer contact role added economic buyer;4;{1} occurs if and only if it is followed by {2};0.8902499750256538;0.3843390941619873;0.0;{'customer contact role added procurement': 0.5755096077919006, 'customer contact role added economic buyer': 0.5236126184463501};0.5495611131191254;d3739dd1-251f-4e67-964a-96293de0ab7b_Object_customer contact role added procurement_Object_customer contact role added economic buyer;0.5346050018072128;['Customer contact role added: Procurement'];['Customer contact role added: Economic Buyer'];d3739dd1-251f-4e67-964a-96293de0ab7b_Object_customer contact role added procurement_Object_customer contact role added economic buyer;416
d3739dd1-251f-4e67-964a-96293de0ab7b_Object_customer contact role added procurement_Object_customer contact role added technical buyer;Activity;;Succession[customer contact role added procurement, customer contact role added technical buyer] | | |;Binary;set();set();Precedence;customer contact role added procurement;customer contact role added technical buyer;4;{1} occurs if and only if it is followed by {2};0.8902499750256538;0.3843390941619873;0.0;{'customer contact role added procurement': 0.5755096077919006, 'customer contact role added technical buyer': 0.5193029642105103};0.5474062860012054;d3739dd1-251f-4e67-964a-96293de0ab7b_Object_customer contact role added procurement_Object_customer contact role added technical buyer;0.532665657401085;['Customer contact role added: Procurement'];['Customer contact role added: Technical Buyer'];d3739dd1-251f-4e67-964a-96293de0ab7b_Object_customer contact role added procurement_Object_customer contact role added technical buyer;328
